ETF Name,Code,Quote,Trailing Return,Growth 10000,Risk,Asset Allocations,Sectors,StockStyle,Sustainability,Holdings
ARIRANG_200,152100,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_200_EW,295820,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_200_Futures_Inverse_2X,253160,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
ARIRANG_200_Futures_Leverage,253150,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
ARIRANG_200_LowVOL_Tilt,295890,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_200_Momentum_Tilt,295860,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_200_Quality_Tilt,295880,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_200_Value_Tilt,295840,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_Active_Short-term_Credit_Bond,278620,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
ARIRANG_ChiNext(Synth),256450,20190816,20190814,20190814,NA,20180630,20180630,20180630,NA,20180630
ARIRANG_Credit_Bond50,239660,20190816,20190814,20190814,20190731,20190430,20190430,20190430,NA,20190430
ARIRANG_ESG_Leading_Company_ETF,278420,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_High_Divend_Low_Volatility_50,251590,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_High_Dividend_Bond_Balanced_ETF,251600,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
ARIRANG_High_Dividend_ETF,161510,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_KOSDAQ150,301400,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KOSDAQ150_F-Inverse,301410,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
ARIRANG_KOSPI,227830,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_KOSPI50,122090,20190816,20190814,20190814,20190731,20190430,20190430,20190430,20190630,20190430
ARIRANG_KOSPI_Mid_Cap,301440,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KOSPI_Total_Return,328370,20190816,20190814,20190814,NA,20190731,NA,NA,NA,NA
ARIRANG_KRX300_Consumer_Discretionary,309200,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KRX300_ETF,292750,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KRX300_Financials,309180,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KRX300_Health_Care,309210,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KRX300_Industrials,309190,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KRX300_IT,309170,20190816,20190814,20190814,NA,20190430,20190430,20190430,20190630,20190430
ARIRANG_KTB_10Y_Future_ETF,289670,20190816,20190814,20190814,NA,20190430,20190430,20190430,NA,20190430
