일자,종가,증감,증감율,거래량,NAV,증감,증감율,괴리율,,
20190711,"27,305",330,1.22%,,"27,316.66",303.59,1.12%,-0.04%,,
20190710,"26,975",100,0.37%,"2,416,813","27,013.07",103.48,0.38%,-0.14%,,
20190709,"26,875",-55,-0.20%,"2,839,154","26,909.59",-84.52,-0.31%,-0.13%,,
20190708,"26,930",-575,-2.09%,"3,605,201","26,994.11",-580.85,-2.11%,-0.24%,,
20190705,"27,505",-40,-0.15%,"2,125,406","27,574.96",-19.52,-0.07%,-0.25%,,
20190704,"27,545",230,0.84%,"2,843,031","27,594.48",216.91,0.79%,-0.18%,,
20190703,"27,315",-355,-1.28%,"3,097,925","27,377.57",-361.24,-1.30%,-0.23%,,
20190702,"27,670",-155,-0.56%,"3,291,482","27,738.81",-129.78,-0.47%,-0.25%,,
20190701,"27,825",5,0.02%,"3,670,674","27,868.59",-23.31,-0.08%,-0.16%,,
20190628,"27,820",-70,-0.25%,"3,020,102","27,891.90",-25.05,-0.09%,-0.26%,,
20190627,"27,890",335,1.22%,"3,439,941","27,916.95",307.44,1.11%,-0.10%,,
20190626,"27,555",30,0.11%,"2,783,612","27,609.51",25.21,0.09%,-0.20%,,
20190625,"27,525",-40,-0.15%,"4,001,179","27,584.30",-30.98,-0.11%,-0.21%,,
20190624,"27,565",45,0.16%,"2,500,167","27,615.28",9.79,0.04%,-0.18%,,
20190621,"27,520",-75,-0.27%,"3,139,578","27,605.49",-52.48,-0.19%,-0.31%,,
20190620,"27,595",95,0.35%,"1,980,038","27,657.97",70.21,0.25%,-0.23%,,
20190619,"27,500",340,1.25%,"2,175,779","27,587.76",394.97,1.45%,-0.32%,,
20190618,"27,160",135,0.50%,"2,449,034","27,192.79",126.19,0.47%,-0.12%,,
20190617,"27,025",15,0.06%,"1,860,666","27,066.60",-39.28,-0.14%,-0.15%,,
20190614,"27,010",-5,-0.02%,"4,061,314","27,105.88",-65.48,-0.24%,-0.35%,,
20190613,"27,015",-225,-0.83%,"3,670,419","27,171.36",-161.82,-0.59%,-0.58%,,
20190612,"27,240",-95,-0.35%,"2,278,107","27,333.18",-47.86,-0.17%,-0.34%,,
20190611,"27,335",155,0.57%,"1,706,762","27,381.04",111.64,0.41%,-0.17%,,
20190610,"27,180",390,1.46%,"2,871,901","27,269.40",383.88,1.43%,-0.33%,,
20190607,"26,790",10,0.04%,"3,028,266","26,885.52",27.12,0.10%,-0.36%,,
20190605,"26,780",30,0.11%,"3,543,381","26,858.40",33.23,0.12%,-0.29%,,
20190604,"26,750",-50,-0.19%,"3,631,211","26,825.17",-50.82,-0.19%,-0.28%,,
20190603,"26,800",435,1.65%,"2,769,117","26,875.99",426.91,1.61%,-0.28%,,
20190531,"26,365",-45,-0.17%,"5,798,570","26,449.08",-4.16,-0.02%,-0.32%,,
20190530,"26,410",240,0.92%,"3,213,461","26,453.24",255.97,0.98%,-0.16%,,
20190529,"26,170",-360,-1.36%,"4,378,979","26,197.27",-334.78,-1.26%,-0.10%,,
20190528,"26,530",40,0.15%,"2,674,391","26,532.05",31.02,0.12%,-0.01%,,
20190527,"26,490",20,0.08%,"2,551,628","26,501.03",-2.55,-0.01%,-0.04%,,
20190524,"26,470",-195,-0.73%,"3,667,436","26,503.58",-196.09,-0.73%,-0.13%,,
20190523,"26,665",-35,-0.13%,"3,304,826","26,699.67",-27.28,-0.10%,-0.13%,,
20190522,"26,700",60,0.23%,"4,078,279","26,726.95",52.43,0.20%,-0.10%,,
20190521,"26,640",130,0.49%,"4,344,526","26,674.52",116.89,0.44%,-0.13%,,
20190520,"26,510",70,0.26%,"2,935,445","26,557.63",60.25,0.23%,-0.18%,,
20190517,"26,440",-175,-0.66%,"3,983,520","26,497.38",-164.23,-0.62%,-0.22%,,
20190516,"26,615",-380,-1.41%,"7,122,875","26,661.61",-365.66,-1.35%,-0.17%,,
20190515,"26,995",125,0.47%,"3,913,584","27,027.27",108.27,0.40%,-0.12%,,
20190514,"26,870",-50,-0.19%,"6,234,545","26,919.00",-16.23,-0.06%,-0.18%,,
20190513,"26,920",-320,-1.17%,"3,513,296","26,935.23",-333.74,-1.22%,-0.06%,,
20190510,"27,240",50,0.18%,"5,122,693","27,268.97",104.54,0.38%,-0.11%,,
20190509,"27,190",-820,-2.93%,"5,553,757","27,164.43",-915.32,-3.26%,0.09%,,
20190508,"28,010",-130,-0.46%,"2,168,036","28,079.75",-116.11,-0.41%,-0.25%,,
20190507,"28,140",-225,-0.79%,"2,901,691","28,195.86",-235.75,-0.83%,-0.20%,,
20190503,"28,365",-255,-0.89%,"1,735,764","28,431.61",-246.65,-0.86%,-0.23%,,
20190502,"28,620",125,0.44%,"1,208,012","28,678.26",120.56,0.42%,-0.20%,,
20190430,"28,495",-180,-0.63%,"3,235,063","28,557.70",-188.53,-0.66%,-0.22%,,
20190429,"28,675",565,2.01%,"2,164,261","28,746.23",546.38,1.94%,-0.25%,,
20190426,"28,575",-170,-0.59%,"2,998,270","28,199.85",-615.12,-2.13%,1.33%,,
20190425,"28,745",-45,-0.16%,"2,040,095","28,814.97",-86.69,-0.30%,-0.24%,,
20190424,"28,790",-315,-1.08%,"4,317,616","28,901.66",-277.44,-0.95%,-0.39%,,
20190423,"29,105",50,0.17%,"3,606,461","29,179.10",61.06,0.21%,-0.25%,,
20190422,"29,055",5,0.02%,"2,645,763","29,118.04",-1.75,-0.01%,-0.22%,,
20190419,"29,050",5,0.02%,"2,225,997","29,119.79",7.35,0.03%,-0.24%,,
20190418,"29,045",-470,-1.59%,"3,604,369","29,112.44",-452.72,-1.53%,-0.23%,,
20190417,"29,515",-20,-0.07%,"3,678,551","29,565.16",-29.34,-0.10%,-0.17%,,
20190416,"29,535",115,0.39%,"2,023,548","29,594.50",123.65,0.42%,-0.20%,,
20190415,"29,420",120,0.41%,"4,367,123","29,470.85",101.32,0.34%,-0.17%,,
20190412,"29,300",70,0.24%,"3,374,269","29,369.53",94.91,0.32%,-0.24%,,
20190411,"29,230",-65,-0.22%,"4,104,949","29,274.62",-50.72,-0.17%,-0.15%,,
20190410,"29,295",150,0.51%,"4,116,699","29,325.34",120.8,0.41%,-0.10%,,
