일자,종가,증감,증감율,거래량,NAV,증감.1,증감율.1,괴리율
2019.07.10,"26,985",110,0.41%,,"27,018.52",102.6,0.38%,-0.12%
2019.07.09,"26,875",-85,-0.32%,,"26,915.92",-83.62,-0.31%,-0.15%
2019.07.08,"26,960",-555,-2.02%,,"26,999.54",-579.38,-2.10%,-0.15%
2019.07.05,"27,515",-35,-0.13%,,"27,578.92",-19.23,-0.07%,-0.23%
2019.07.04,"27,550",220,0.80%,,"27,598.15",216.95,0.79%,-0.17%
2019.07.03,"27,330",-345,-1.25%,,"27,381.20",-360.45,-1.30%,-0.19%
2019.07.02,"27,675",-160,-0.57%,,"27,741.65",-129,-0.46%,-0.24%
2019.07.01,"27,835",-15,-0.05%,,"27,870.65",-23.34,-0.08%,-0.13%
2019.06.28,"27,850",-30,-0.11%,,"27,893.99",-25.24,-0.09%,-0.16%
2019.06.27,"27,880",335,1.22%,,"27,919.23",308.32,1.12%,-0.14%
2019.06.26,"27,545",15,0.05%,,"27,610.91",25.19,0.09%,-0.24%
2019.06.25,"27,530",-40,-0.15%,,"27,585.72",-31.2,-0.11%,-0.20%
2019.06.24,"27,570",50,0.18%,,"27,616.92",10.37,0.04%,-0.17%
2019.06.21,"27,520",-75,-0.27%,,"27,606.55",-52.54,-0.19%,-0.31%
2019.06.20,"27,595",95,0.35%,,"27,659.09",70.74,0.26%,-0.23%
2019.06.19,"27,500",335,1.23%,,"27,588.35",394.34,1.45%,-0.32%
2019.06.18,"27,165",145,0.54%,,"27,194.01",127.32,0.47%,-0.11%
2019.06.17,"27,020",10,0.04%,,"27,066.69",-38.83,-0.14%,-0.17%
2019.06.14,"27,010",-5,-0.02%,,"27,105.52",-64.16,-0.24%,-0.35%
2019.06.13,"27,015",-240,-0.88%,,"27,169.68",-162.92,-0.60%,-0.57%
2019.06.12,"27,255",-90,-0.33%,,"27,332.60",-47.71,-0.17%,-0.28%
2019.06.11,"27,345",175,0.64%,,"27,380.31",111.19,0.41%,-0.13%
2019.06.10,"27,170",380,1.42%,,"27,269.12",383.74,1.43%,-0.36%
2019.06.07,"26,790",5,0.02%,,"26,885.38",27.73,0.10%,-0.35%
2019.06.05,"26,785",20,0.07%,,"26,857.65",33.37,0.12%,-0.27%
2019.06.04,"26,765",-50,-0.19%,,"26,824.28",-50.71,-0.19%,-0.22%
2019.06.03,"26,815",460,1.75%,,"26,874.99",426.77,1.61%,-0.22%
2019.05.31,"26,355",-60,-0.23%,,"26,448.22",-3.88,-0.01%,-0.35%
2019.05.30,"26,415",250,0.96%,,"26,452.10",255.64,0.98%,-0.14%
2019.05.29,"26,165",-360,-1.36%,,"26,196.46",-333.93,-1.26%,-0.12%
2019.05.28,"26,525",35,0.13%,,"26,530.39",29.82,0.11%,-0.02%
2019.05.27,"26,490",25,0.09%,,"26,500.57",-1.68,-0.01%,-0.04%
2019.05.24,"26,465",-190,-0.71%,,"26,502.25",-195.85,-0.73%,-0.14%
2019.05.23,"26,655",-40,-0.15%,,"26,698.10",-26.86,-0.10%,-0.16%
2019.05.22,"26,695",50,0.19%,,"26,724.96",52.31,0.20%,-0.11%
2019.05.21,"26,645",145,0.55%,,"26,672.65",117.02,0.44%,-0.10%
2019.05.20,"26,500",50,0.19%,,"26,555.63",60.8,0.23%,-0.21%
2019.05.17,"26,450",-165,-0.62%,,"26,494.83",-163.67,-0.61%,-0.17%
2019.05.16,"26,615",-370,-1.37%,,"26,658.50",-365.64,-1.35%,-0.16%
2019.05.15,"26,985",90,0.33%,,"27,024.14",107.64,0.40%,-0.14%
2019.05.14,"26,895",-20,-0.07%,,"26,916.50",-15.92,-0.06%,-0.08%
