운용사,유동성공급자(LP),종목명,기초지수명,순자산규모(억원),최초설정일,상장일
삼성자산운용,"미래에셋대우, 한국증권, 키움증권, NH투자증권, 메리츠, KB증권",KODEX 은행,KRX 은행,"720","2006/06/26","2006/06/27"
삼성자산운용,"키움증권, 유안타증권, NH투자증권, 메리츠, KB증권",KODEX 반도체,KRX 반도체,"134","2006/06/26","2006/06/27"
삼성자산운용,"미래에셋대우, 키움증권, NH투자증권, 메리츠, KB증권, 유안타증권",KODEX 자동차,KRX 자동차,"234","2006/06/26","2006/06/27"
미래에셋자산운용,"KB증권, 메리츠, 유안타증권, NH투자증권",TIGER KRX100,KRX 100,"46","2006/06/26","2006/06/27"
미래에셋자산운용,"미래에셋대우, NH투자증권, 하나금융투자, KB증권, 유안타증권, 키움증권, 교보증권, 메리츠",TIGER 반도체,KRX 반도체,"134","2006/06/26","2006/06/27"
미래에셋자산운용,"미래에셋대우, NH투자증권, 유안타증권, 메리츠, KB증권",TIGER 은행,KRX 은행,"43","2006/06/26","2006/06/27"
유리에셋,"메리츠, 유진증권, 유안타증권, 리딩투자, 한화투자",TREX 중소형가치,MKF 중소형 가치,"50","2007/07/30","2007/07/31"
미래에셋자산운용,"미래에셋대우, NH투자증권, 하이증권, 메리츠, KB증권, 한화투자",TIGER 방송통신,KRX 방송통신,"75","2007/09/06","2007/09/07"
삼성자산운용,"삼성증권, 키움증권, 유진증권",KODEX China H,Hang Seng China H,"435","2007/10/09","2007/10/10"
키움투자자산운용,"키움증권, 미래에셋대우, 신한투자, NH투자증권",KOSEF KRX100,KRX 100,"80","2008/01/22","2008/01/23"
삼성자산운용,유진증권,KODEX 일본TOPIX100,TOPIX100,"79","2008/02/19","2008/02/20"
미래에셋자산운용,"씨엘, 삼성증권, 하나금융투자, 유안타증권, 에스지, 부국증권, 신한투자, 한국증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 한화투자, SK증권, DB금투, 하이증권, 리딩투자, 키움증권, 교보증권, 이베스트",TIGER 200,코스피 200,"27,385","2008/04/02","2008/04/03"
삼성자산운용,"KB증권, 유안타증권, 신한투자, 미래에셋대우, 유진증권, 메리츠, 하이증권, NH투자증권",KODEX 삼성그룹,삼성그룹,"10,641","2008/05/20","2008/05/21"
삼성자산운용,"KB증권, 키움증권, 메리츠, 유안타증권, NH투자증권",KODEX 기계장비,KRX 기계장비,"98","2008/05/28","2008/05/29"
삼성자산운용,"키움증권, 유안타증권, 메리츠, KB증권, NH투자증권",KODEX 증권,KRX 증권,"640","2008/05/28","2008/05/29"
키움투자자산운용,"미래에셋대우, KB증권, NH투자증권, 키움증권, 유진증권",KOSEF 블루칩,MKF 블루칩,"115","2008/07/28","2008/07/29"
키움투자자산운용,"키움증권, 유진증권, SK증권, NH투자증권",KOSEF 고배당,MKF 웰스 고배당20,"101","2008/07/28","2008/07/29"
미래에셋자산운용,"미래에셋대우, NH투자증권",TIGER 라틴35,BNY Latin America 35 ADR,"57","2008/08/26","2008/08/27"
한국투자신탁운용,"SK증권, 신한투자, 한국증권, 대신증권, 미래에셋대우, NH투자증권, KB증권, 한화투자, DB금투, 하이증권, 하나금융투자, 메리츠, 삼성증권, 교보증권, 이베스트, 유진증권, 유안타증권",KINDEX 200,코스피 200,"6,755","2008/09/24","2008/09/25"
케이비자산운용,"삼성증권, 유진증권, NH투자증권, 하이증권, KB증권, 키움증권",KBSTAR 5대그룹주,MKF 5대그룹주,"128","2008/10/21","2008/10/22"
유리에셋,"KB증권, 유진증권, NH투자증권, 리딩투자, 하나금융투자, 한화투자",TREX 200,코스피 200,"206","2009/01/21","2009/01/23"
한국투자신탁운용,"메리츠, 키움증권, KB증권, NH투자증권",KINDEX 삼성그룹섹터가중,MKF SAMs SW,"276","2009/02/02","2009/02/03"
케이비자산운용,"미래에셋대우, KB증권, 삼성증권, 키움증권",KBSTAR 국고채3년,KTB INDEX(시장가격),"743","2009/07/28","2009/07/29"
삼성자산운용,"미래에셋대우, NH투자증권",KODEX 국고채3년,MKF 국고채지수(총수익),"851","2009/07/28","2009/07/29"
키움투자자산운용,"한국증권, 미래에셋대우, IBK증권, 메리츠, 키움증권",KOSEF 국고채3년,KTB INDEX(시장가격),"370","2009/07/30","2009/07/31"
한국투자신탁운용,미래에셋대우,KINDEX 중기국고채,KTB INDEX(시장가격),"192","2009/07/30","2009/07/31"
미래에셋자산운용,"한국증권, 미래에셋대우",TIGER 국채3년,KTB INDEX(시장가격),"531","2009/08/26","2009/08/27"
삼성자산운용,"이베스트, SK증권, 씨엘, BNK증권, 한국증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 삼성증권, DB금투, 하이증권, 키움증권, 신한투자",KODEX 인버스,코스피 200 선물지수,"4,905","2009/09/14","2009/09/16"
삼성자산운용,"키움증권, 메리츠, 유안타증권, KB증권, NH투자증권",KODEX 에너지화학,KRX 에너지화학,"114","2009/10/09","2009/10/12"
미래에셋자산운용,"미래에셋대우, NH투자증권, KB증권",TIGER 차이나항셍25,Hang Seng China (Hong Kong-listed) 25 Index,"79","2009/10/20","2009/10/21"
삼성자산운용,"키움증권, 메리츠, KB증권, 하이증권, NH투자증권",KODEX 철강,KRX 철강,"118","2009/10/29","2009/10/30"
삼성자산운용,"유진증권, 키움증권, 메리츠, 미래에셋대우, KB증권, NH투자증권",KODEX 건설,KRX 건설,"171","2009/10/29","2009/10/30"
한화자산운용,"미래에셋대우, 신한투자, KB증권, 하이증권, 대신증권, 유안타증권, 메리츠, NH투자증권",ARIRANG 코스피50,코스피 50,"884","2010/01/06","2010/01/07"
키움투자자산운용,"메리츠, 키움증권, 한국증권, 미래에셋대우, IBK증권",KOSEF 통안채1년,MK 통안채지수(총수익),"827","2010/01/13","2010/01/14"
삼성자산운용,"씨엘, BNK증권, 교보증권, 대신증권, 키움증권, 이베스트, 신한투자, 한국증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, SK증권, 삼성증권, DB금투, 하이증권, 한화투자, 하나금융투자",KODEX 레버리지,코스피 200,"23,727","2010/02/17","2010/02/22"
미래에셋자산운용,"교보증권, 한국증권, 대신증권, 미래에셋대우, 메리츠, NH투자증권, KB증권, 한화투자, SK증권, DB금투, 하이증권, 키움증권, 리딩투자, 하나금융투자, 이베스트",TIGER 인버스,코스피 200 선물지수,"461","2010/03/26","2010/03/29"
미래에셋자산운용,NH투자증권,TIGER 레버리지,코스피 200,"274","2010/04/08","2010/04/09"
키움투자자산운용,"메리츠, 키움증권, 한국증권, 미래에셋대우, IBK증권",KOSEF 단기자금,MK 머니마켓 지수(총수익),"453","2010/07/28","2010/07/29"
미래에셋자산운용,"미래에셋대우, KB증권, NH투자증권, 키움증권, 메리츠, 한국증권, 대신증권",TIGER 원유선물Enhanced(H),S&P GSCI Crude Oil Enhanced Index ER,"462","2010/07/30","2010/08/02"
한국투자신탁운용,"NH투자증권, 하이증권, KB증권",KINDEX 삼성그룹동일가중,MKF SAMs EW 지수,"80","2010/09/16","2010/09/17"
삼성자산운용,"KB증권, 삼성증권, NH투자증권, 유진증권, SK증권, 미래에셋대우, DB금투, 하이증권",KODEX 골드선물(H),S&P GSCI Gold Index(TR),"781","2010/09/30","2010/10/01"
미래에셋자산운용,"미래에셋대우, 신한투자, 메리츠, 키움증권, 하이증권, NH투자증권",TIGER 미국나스닥100,NASDAQ 100,"709","2010/10/15","2010/10/18"
미래에셋자산운용,"미래에셋대우, NH투자증권, 한국증권, 신한투자",TIGER 농산물선물Enhanced(H),S&P GSCI Agriculture Enhanced Index(ER),"408","2011/01/10","2011/01/11"
마이다스에셋,"NH투자증권, 리딩투자",마이다스 200커버드콜5%OTM,코스피 200 커버드콜 5% OTM,"195","2011/02/10","2011/02/15"
키움투자자산운용,"신한투자, 미래에셋대우, 메리츠, KB증권, 키움증권, 리딩투자",KOSEF 미국달러선물,미국달러선물지수,"258","2011/02/23","2011/02/24"
